,prc,lea,expend,fiscal_year
820,011,900,1599.69,2013-14
821,011,920,36033.41,2013-14
822,011,950,625.47,2013-14
823,011,960,1590.08,2013-14
824,011,970,919.31,2013-14
825,011,980,1575.0,2013-14
826,011,995,656.68,2013-14
827,012,010,431298.0,2013-14
828,012,020,83125.88,2013-14
829,012,030,23696.0,2013-14
830,012,040,65163.0,2013-14
831,012,050,53506.0,2013-14
832,012,060,41926.0,2013-14
833,012,070,110643.0,2013-14
834,012,080,64590.0,2013-14
835,012,090,85992.0,2013-14
836,012,100,204193.35,2013-14
837,012,110,477160.0,2013-14
838,012,111,91343.0,2013-14
839,012,120,214407.0,2013-14
840,012,130,514997.0,2013-14
841,012,132,94400.0,2013-14
842,012,140,213833.0,2013-14
843,012,150,29230.0,2013-14
